t_ve=3ms ve_width=29.00 ve_tc=30.6717
tc_greedy=32.3129 tc_ve=29.4305 best_seed=29.4305 t=406ms
t=1023ms tc=29.4145
t=43373ms tc=27.3125
t=43444ms tc=27.2968
t=43516ms tc=27.2968
t=43587ms tc=27.2933
t=43946ms tc=27.2933
t=44022ms tc=27.2748
t=44087ms tc=27.2748
t=44154ms tc=27.2747
t=44222ms tc=27.2747
t=44286ms tc=27.2560
t=44359ms tc=27.2560
t=44436ms tc=27.2559
t=44498ms tc=27.2558
t=44568ms tc=27.2557
t=44643ms tc=27.2393
t=44708ms tc=27.2203
t=44958ms tc=27.2197
t=45025ms tc=27.2191
t=45100ms tc=27.1999
t=45168ms tc=27.1999
t=45237ms tc=27.1999
t=45307ms tc=27.1999
t=45376ms tc=27.1999
t=45444ms tc=27.1999
t=45512ms tc=27.1998
t=45578ms tc=27.1998
t=45946ms tc=27.1998
t=46032ms tc=27.1997
t=46118ms tc=27.1997
t=46193ms tc=27.1825
t=46262ms tc=27.1825
t=46331ms tc=27.1812
t=46396ms tc=27.1812
t=46465ms tc=27.1812
t=46953ms tc=27.1812
t=47034ms tc=27.1812
t=47101ms tc=27.1812
t=47166ms tc=27.1810
t=47234ms tc=27.1810
t=47955ms tc=27.1810
t=48015ms tc=27.1810
t=48084ms tc=27.1810
t=48149ms tc=27.1810
t=49489ms tc=27.1714
t=49552ms tc=27.1702
t=49958ms tc=27.1689
t=50033ms tc=27.1689
t=50105ms tc=27.1515
t=50170ms tc=27.1491
t=50263ms tc=27.1473
t=50951ms tc=27.1299
t=51008ms tc=27.1289
t=51073ms tc=27.1274
t=51131ms tc=27.1269
t=51191ms tc=27.1268
t=51280ms tc=27.1265
t=51987ms tc=27.1260
t=52103ms tc=27.1258
t=52232ms tc=27.1070
t=52300ms tc=27.1065
t=52374ms tc=27.0875
t=52436ms tc=27.0875
t=52956ms tc=27.0874
t=53018ms tc=27.0874
t=53085ms tc=27.0864
t=53152ms tc=27.0851
t=53225ms tc=27.0851
t=53946ms tc=27.0851
t=54019ms tc=27.0833
t=54090ms tc=27.0662
t=54147ms tc=27.0657
t=54206ms tc=27.0447
t=54266ms tc=27.0441
t=54327ms tc=27.0435
t=54961ms tc=27.0428
t=55025ms tc=27.0426
t=55090ms tc=27.0426
t=55166ms tc=27.0421
t=55238ms tc=27.0419
t=55300ms tc=27.0415
t=55960ms tc=27.0415
t=56028ms tc=27.0413
t=56101ms tc=27.0410
t=56173ms tc=27.0197
t=56242ms tc=27.0194
t=56320ms tc=27.0193
t=56961ms tc=27.0193
t=57031ms tc=26.9973
t=57100ms tc=26.9973
t=57162ms tc=26.9973
t=57227ms tc=26.9749
t=57953ms tc=26.9748
t=58047ms tc=26.9743
t=58106ms tc=26.9743
t=58163ms tc=26.9741
t=58221ms tc=26.9524
t=58945ms tc=26.9295
t=58996ms tc=26.9294
t=60270ms tc=26.9082
t=60329ms tc=26.9068
t=60392ms tc=26.9060
t=60482ms tc=26.9059
t=60962ms tc=26.9052
t=61033ms tc=26.8826
t=61118ms tc=26.8818
t=61185ms tc=26.8812
t=61258ms tc=26.8810
t=61953ms tc=26.8808
t=62012ms tc=26.8807
t=62074ms tc=26.8805
t=62132ms tc=26.8803
t=62219ms tc=26.8803
t=62275ms tc=26.8802
t=62951ms tc=26.8799
t=63415ms tc=26.8570
t=63471ms tc=26.8568
t=63951ms tc=26.8567
t=64008ms tc=26.8566
t=64075ms tc=26.8560
t=64148ms tc=26.8560
t=64206ms tc=26.8560
t=64276ms tc=26.8560
t=64951ms tc=26.8556
t=65015ms tc=26.8554
t=65077ms tc=26.8554
t=65136ms tc=26.8554
t=65334ms tc=26.8326
t=65958ms tc=26.8318
t=66019ms tc=26.8310
t=77272ms tc=26.8170
t=77330ms tc=26.8169
t=77447ms tc=26.8100
t=77951ms tc=26.8099
t=78018ms tc=26.8091
t=78100ms tc=26.8090
t=78158ms tc=26.8090
t=78228ms tc=26.7864
t=78282ms tc=26.7863
t=78336ms tc=26.7862
t=78956ms tc=26.7862
t=79016ms tc=26.7861
t=79068ms tc=26.7861
t=79129ms tc=26.7845
t=79191ms tc=26.7845
t=79238ms tc=26.7845
t=79292ms tc=26.7837
t=79952ms tc=26.7837
t=80025ms tc=26.7837
t=80078ms tc=26.7837
t=80158ms tc=26.7657
t=80217ms tc=26.7657
t=80283ms tc=26.7656
t=80957ms tc=26.7623
t=81014ms tc=26.7373
t=81069ms tc=26.7373
t=81118ms tc=26.7372
t=81171ms tc=26.7372
t=81225ms tc=26.7148
t=81277ms tc=26.7118
t=81956ms tc=26.7116
t=82009ms tc=26.7115
t=82060ms tc=26.7114
t=82112ms tc=26.7113
t=82167ms tc=26.7113
t=82222ms tc=26.7107
t=82275ms tc=26.7098
t=82952ms tc=26.7098
t=83008ms tc=26.7098
t=85008ms tc=26.7090
anneal_sweeps=21197 cycles=12 fresh=0
t_final=87299ms tc_final=26.7090 ve_fits=true
